,L_bankssts,L_caudalanteriorcingulate,L_caudalmiddlefrontal,L_cuneus,L_entorhinal,L_fusiform,L_inferiorparietal,L_inferiortemporal,L_isthmuscingulate,L_lateraloccipital,L_lateralorbitofrontal,L_lingual,L_medialorbitofrontal,L_middletemporal,L_parahippocampal,L_paracentral,L_parsopercularis,L_parsorbitalis,L_parstriangularis,L_pericalcarine,L_postcentral,L_posteriorcingulate,L_precentral,L_precuneus,L_rostralanteriorcingulate,L_rostralmiddlefrontal,L_superiorfrontal,L_superiorparietal,L_superiortemporal,L_supramarginal,L_frontalpole,L_temporalpole,L_transversetemporal,L_insula,R_bankssts,R_caudalanteriorcingulate,R_caudalmiddlefrontal,R_cuneus,R_entorhinal,R_fusiform,R_inferiorparietal,R_inferiortemporal,R_isthmuscingulate,R_lateraloccipital,R_lateralorbitofrontal,R_lingual,R_medialorbitofrontal,R_middletemporal,R_parahippocampal,R_paracentral,R_parsopercularis,R_parsorbitalis,R_parstriangularis,R_pericalcarine,R_postcentral,R_posteriorcingulate,R_precentral,R_precuneus,R_rostralanteriorcingulate,R_rostralmiddlefrontal,R_superiorfrontal,R_superiorparietal,R_superiortemporal,R_supramarginal,R_frontalpole,R_temporalpole,R_transversetemporal,R_insula
L_bankssts,0.0,0.0,142.301751626504,174.37767706977,240.270401000977,120.942294801985,37.4220781304449,88.9796939959837,112.834543863932,164.330038976669,149.152950563293,170.974317110502,0.0,41.6840552301784,193.00129699707,192.579765319824,141.565903289409,178.291256644509,160.450195580198,159.155356513129,145.180871714716,130.999526977539,170.788388933454,138.693283081055,0.0,156.057694987886,172.689369738941,159.799508463542,34.16889460285,53.7321874326052,215.65119934082,128.262321472168,102.223323080275,130.775745947384,0.0,182.975280761719,195.505004882812,0.0,0.0,0.0,195.698369344076,0.0,101.870418548584,0.0,0.0,0.0,0.0,167.030059814453,0.0,157.310119628906,0.0,220.683517456055,0.0,0.0,160.410308837891,0.0,0.0,171.959306989397,0.0,218.249504089355,210.852874755859,191.392425537109,192.108703613281,143.597106933594,231.220916748047,0.0,221.061065673828,178.070304870605
L_caudalanteriorcingulate,0.0,0.0,121.508872312658,161.457664489746,147.283770969936,173.364602661133,190.183236122131,178.787173344539,84.5809680104613,200.87050374349,76.1815845304649,141.471902170489,68.4219878956676,150.6198924138,119.110865993354,86.9210751273415,97.3992659322331,87.8532324109759,73.3594974941678,190.316370646159,137.889121111702,53.3610762419887,128.233626082137,98.3464072547802,30.4153982988836,80.1773656312689,36.1407815025389,151.305465698242,149.215272803056,163.49917755127,92.8602081186631,123.505711555481,0.0,91.9037491191517,0.0,53.2299640912276,136.184647126631,0.0,0.0,0.0,199.197712824895,233.71369934082,167.398519243513,217.152297973633,129.643250274658,0.0,128.621986219618,203.10648727417,221.863479614258,151.179970741272,116.322094015879,134.470005637721,125.92759415199,0.0,198.668291091919,112.492925430166,159.025061289469,166.633694848349,118.029197986309,117.599828394254,106.36385929941,190.568461608887,230.264455159505,157.871032714844,142.617578703782,205.174606323242,0.0,137.944195338658
L_caudalmiddlefrontal,142.301751626504,121.508872312658,0.0,227.403244018555,99.6268539428711,161.954216664632,123.505942126622,158.384908652634,187.651278904506,183.269115686417,141.506510066986,218.237602233887,153.732805252075,146.251276024379,180.930038452148,118.901725734676,65.1441836642945,129.402842977773,104.026016063059,202.223459879557,87.7266448664247,126.370190938314,48.079526885479,144.044931855592,153.240122014826,53.9427354518877,41.1168446745047,107.361477431442,159.865955956081,115.325795743072,141.187872568766,147.18627966018,161.391732006538,113.854551941706,198.274332682292,139.838212227335,135.24908168355,0.0,229.965759277344,226.088287353516,185.896307219499,220.35947265625,157.559091356066,227.020149230957,196.081199645996,220.954177856445,198.449089050293,203.922741844541,0.0,147.316792110745,153.007445265117,186.336350440979,168.750606260438,0.0,173.886978149414,144.172430441413,147.351244149557,176.687344680598,148.999594116211,158.107427135017,133.679414411639,188.433399777296,209.187721701229,192.343491690499,188.319530487061,0.0,0.0,165.791144598098
L_cuneus,174.37767706977,161.457664489746,227.403244018555,0.0,121.669572246318,98.9556529141694,91.2937578310434,149.4416661696,72.6001234308961,33.3728080742866,193.286194602508,61.6247565208274,173.549071238591,158.367033682463,99.9535907709931,0.0,229.124176025391,204.637027242909,209.873204231262,24.2319246063658,148.143417358398,99.2627601623535,157.57829284668,28.2989640144873,217.424205235073,209.497674107552,218.969272528754,31.4549400440283,151.36672644043,187.68106115432,217.32550684611,178.582181604897,131.802169799805,136.690844571149,243.24201965332,216.618286132812,228.882217407227,146.463086478518,173.58677482605,202.223292741619,181.69096234584,208.475639343262,107.690032261174,197.725819185556,238.377748761858,189.283136926516,176.455749511719,213.23411023939,169.915543256487,227.11360168457,0.0,241.790939331055,0.0,190.406867772504,210.837265014648,187.351119995117,0.0,153.954739930678,0.0,246.169937133789,238.241546630859,155.296526865633,212.868455614362,201.211639404297,0.0,229.335556030273,0.0,214.12734153054
L_entorhinal,240.270401000977,147.283770969936,99.6268539428711,121.669572246318,0.0,23.6658810727444,130.314202279756,54.5515851179759,74.4024756900848,149.808045005798,81.3549695752331,84.1388095959677,44.1971345043822,120.275633811951,30.8571892176901,0.0,74.7243296305339,120.303916931152,0.0,120.62288482666,129.314144134521,102.875533470741,109.566251118978,93.7381202492248,143.187703026666,154.41087940761,177.841449222049,145.713433239911,179.986221313477,0.0,131.337355295817,9.8653741169497,163.763122558594,15.0633417388083,0.0,174.403274536133,0.0,170.522194998605,176.812362670898,0.0,206.699565887451,0.0,96.7353668212891,204.395884195964,0.0,154.146100362142,0.0,0.0,0.0,175.070297241211,0.0,0.0,235.895874023438,170.436584472656,183.288398742676,123.890453338623,146.359710693359,165.15958628935,0.0,0.0,211.693445841471,183.802942276001,0.0,0.0,209.33406829834,0.0,0.0,0.0
L_fusiform,120.942294801985,173.364602661133,161.954216664632,98.9556529141694,23.6658810727444,0.0,82.3009240454913,42.3438784092014,104.493901657104,50.5596456833053,161.394422864826,40.9750052445698,110.931287703475,92.5263858831883,31.7185439547424,182.18058013916,177.512126966455,177.144181868609,184.541898307154,99.4412184345479,150.091939334212,160.177114105225,164.397594075807,113.010735474527,191.826367696126,175.686280996314,194.979990056131,90.9326201414609,156.084493425819,131.638172551205,191.083908081055,37.1408888330547,149.5059951983,143.276822457711,0.0,197.299301147461,215.925777435303,204.048518710666,0.0,211.309304630055,201.909502301897,227.728744506836,144.70831866597,212.273793328669,0.0,200.452076866513,124.233322143555,235.847682952881,181.262447357178,214.179021199544,0.0,235.53581237793,0.0,209.693363804971,200.503036499023,187.029747009277,188.069381713867,182.950568782922,0.0,201.788623809814,219.29947265625,207.225024498834,223.899963378906,212.655059814453,242.911677042643,0.0,0.0,219.544734954834
L_inferiorparietal,37.4220781304449,190.183236122131,123.505942126622,91.2937578310434,130.314202279756,82.3009240454913,0.0,85.5180272465896,93.5649139688239,39.1577619208699,168.869820169727,138.645301855006,163.643980466402,53.428713139048,118.838326674241,176.75668504503,147.289404415216,183.52967698839,174.416460124369,144.200831125474,106.8505196323,170.61201751709,123.433298470317,92.0629265341087,183.750973628117,148.363911438494,181.731269100889,52.949866219167,112.340948890393,46.926301140333,199.409529976223,154.773890036124,111.00736043176,119.678948597212,207.742420196533,195.122868855794,202.991140311105,192.646067743716,228.736907958984,206.561250385485,188.924627266678,217.761002604167,131.464061957139,198.293360682896,235.010864257812,191.964136123657,236.199592590332,210.229743370643,226.512680053711,191.569448297674,216.889561971029,223.167993164062,228.646240234375,199.18476155599,203.557988660089,187.310122172038,198.200164794922,174.203536049437,221.868275960286,224.740730632435,210.506777637983,191.944432507391,202.548191862286,194.396987388874,238.188461303711,0.0,222.578079223633,205.848792182075
L_inferiortemporal,88.9796939959837,178.787173344539,158.384908652634,149.4416661696,54.5515851179759,42.3438784092014,85.5180272465896,0.0,151.325588505443,70.8021786821988,125.062115701345,117.949109897463,87.5168622390814,43.571586992154,80.4254524563783,184.777633666992,161.288367614285,167.653567779896,176.501667995079,131.882792182982,146.674499315374,205.395258123224,165.073357599079,143.113689409934,126.612567265828,167.503095607427,181.54525909715,132.524169703332,110.586125929333,99.2812180719657,149.658714476086,24.5527311714295,139.608528767157,147.773595266139,203.785995483398,205.658947414822,223.082479858398,220.241932955655,0.0,231.034408569336,216.23806069114,200.249084472656,165.412238263069,223.329292466905,241.454574584961,215.191503671499,131.781498432159,226.470043182373,202.268280029297,197.487411499023,233.815258789063,0.0,229.449234008789,222.6490234375,224.452850341797,224.110336303711,217.668029785156,199.044160422632,205.665237426758,219.834734235491,220.742471827139,215.728736150832,212.030277252197,198.087688446045,192.346661376953,0.0,0.0,167.726306915283
L_isthmuscingulate,112.834543863932,84.5809680104613,187.651278904506,72.6001234308961,74.4024756900848,104.493901657104,93.5649139688239,151.325588505443,0.0,112.125850966482,157.596070575714,38.7104805279749,138.945451743891,150.853253743735,35.2212301428412,146.982094077177,156.835672551935,187.238832019624,153.537134270919,86.045842107137,142.961891937256,32.4069132959917,182.414621353149,38.3564393975575,115.927991396421,159.712500772358,123.483367032625,84.046498098657,133.074678211677,114.303812713623,160.585900504634,158.61049041748,97.0159197457229,126.229378571381,133.733932495117,149.901247385386,193.134622192383,114.91020938962,129.411730766296,150.896280583647,125.081765421321,160.261393530894,27.0239620970534,136.217531303307,197.929775462431,132.940114974976,194.117423701931,147.91070040067,103.797461050528,118.683754666161,192.285422515869,197.656955295139,199.720854187012,130.251954280969,121.92195072647,61.4167876185793,132.749867525968,94.2976286059282,195.975816726685,209.149970336914,194.783507577734,121.684571568185,136.752694045441,113.40292137146,207.988509832644,208.156898498535,126.069664001465,138.065198989142
L_lateraloccipital,164.330038976669,200.87050374349,183.269115686417,33.3728080742866,149.808045005798,50.5596456833053,39.1577619208699,70.8021786821988,112.125850966482,0.0,183.877238079142,45.5814010590766,167.859655970292,79.8408975884121,116.125165505843,0.0,207.954782613118,197.566331048197,198.652008056641,35.2593021714659,191.685888926188,207.678051418728,160.727725219727,128.208230951175,202.584063720703,203.463547274255,215.363910816334,50.3753236240693,151.899931007975,183.47336062263,216.752030068255,164.694099097731,159.274221908214,135.887164424016,0.0,229.625555419922,235.029937744141,201.121316596643,201.160820007324,217.571536254883,198.73308996582,221.328189247533,143.969719012578,216.585081552905,246.652481079102,207.723049735102,201.251342773438,227.716517130534,195.675119628906,0.0,0.0,239.165252685547,0.0,211.936551552119,0.0,238.206176757812,0.0,179.196662221773,228.799368722098,243.168199157715,235.664666119744,205.20713142554,229.062412608754,244.066741943359,245.053039550781,0.0,0.0,228.144298553467
