,L_bankssts,L_caudalanteriorcingulate,L_caudalmiddlefrontal,L_cuneus,L_entorhinal,L_fusiform,L_inferiorparietal,L_inferiortemporal,L_isthmuscingulate,L_lateraloccipital,L_lateralorbitofrontal,L_lingual,L_medialorbitofrontal,L_middletemporal,L_parahippocampal,L_paracentral,L_parsopercularis,L_parsorbitalis,L_parstriangularis,L_pericalcarine,L_postcentral,L_posteriorcingulate,L_precentral,L_precuneus,L_rostralanteriorcingulate,L_rostralmiddlefrontal,L_superiorfrontal,L_superiorparietal,L_superiortemporal,L_supramarginal,L_frontalpole,L_temporalpole,L_transversetemporal,L_insula,R_bankssts,R_caudalanteriorcingulate,R_caudalmiddlefrontal,R_cuneus,R_entorhinal,R_fusiform,R_inferiorparietal,R_inferiortemporal,R_isthmuscingulate,R_lateraloccipital,R_lateralorbitofrontal,R_lingual,R_medialorbitofrontal,R_middletemporal,R_parahippocampal,R_paracentral,R_parsopercularis,R_parsorbitalis,R_parstriangularis,R_pericalcarine,R_postcentral,R_posteriorcingulate,R_precentral,R_precuneus,R_rostralanteriorcingulate,R_rostralmiddlefrontal,R_superiorfrontal,R_superiorparietal,R_superiortemporal,R_supramarginal,R_frontalpole,R_temporalpole,R_transversetemporal,R_insula
L_bankssts,0.0,0.0,74.0,9.0,1.0,28.0,4693.0,659.0,6.0,80.0,69.0,13.0,0.0,9154.0,1.0,4.0,158.0,22.0,57.0,9.0,23.0,1.0,21.0,21.0,0.0,157.0,71.0,75.0,7820.0,2064.0,1.0,3.0,36.0,103.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,6.0,11.0,8.0,1.0,1.0,1.0,0.0,1.0,2.0
L_caudalanteriorcingulate,0.0,0.0,34.0,6.0,21.0,20.0,16.0,13.0,2337.0,6.0,227.0,31.0,1280.0,13.0,131.0,330.0,89.0,70.0,270.0,3.0,17.0,5982.0,37.0,2614.0,4045.0,1107.0,11922.0,37.0,38.0,20.0,68.0,48.0,0.0,66.0,0.0,208.0,22.0,0.0,0.0,0.0,13.0,1.0,14.0,1.0,10.0,0.0,135.0,4.0,1.0,24.0,73.0,19.0,29.0,0.0,8.0,29.0,18.0,43.0,26.0,480.0,1538.0,10.0,3.0,8.0,58.0,1.0,0.0,14.0
L_caudalmiddlefrontal,74.0,34.0,0.0,2.0,2.0,300.0,4037.0,1379.0,14.0,32.0,160.0,6.0,12.0,1171.0,2.0,222.0,10777.0,184.0,1572.0,3.0,7473.0,69.0,30562.0,318.0,11.0,34651.0,36706.0,3491.0,411.0,4944.0,18.0,21.0,41.0,542.0,3.0,49.0,610.0,0.0,2.0,1.0,159.0,15.0,9.0,2.0,4.0,1.0,4.0,42.0,0.0,139.0,380.0,16.0,69.0,0.0,58.0,71.0,205.0,405.0,5.0,483.0,3922.0,205.0,17.0,28.0,4.0,0.0,0.0,42.0
L_cuneus,9.0,6.0,2.0,0.0,98.0,859.0,367.0,440.0,1537.0,15284.0,283.0,9288.0,52.0,273.0,323.0,0.0,3.0,69.0,16.0,42600.0,1.0,2.0,1.0,9010.0,7.0,128.0,45.0,17399.0,375.0,21.0,12.0,41.0,24.0,108.0,1.0,1.0,3.0,422.0,8.0,122.0,229.0,34.0,410.0,664.0,7.0,297.0,1.0,37.0,35.0,1.0,0.0,1.0,0.0,183.0,1.0,4.0,0.0,1568.0,0.0,1.0,2.0,1417.0,28.0,2.0,0.0,1.0,0.0,11.0
L_entorhinal,1.0,21.0,2.0,98.0,0.0,2399.0,33.0,108.0,252.0,40.0,97.0,477.0,149.0,8.0,2091.0,0.0,3.0,1.0,0.0,50.0,2.0,13.0,3.0,297.0,18.0,14.0,37.0,74.0,11.0,0.0,6.0,183.0,1.0,2840.0,0.0,1.0,0.0,7.0,1.0,0.0,4.0,0.0,7.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,34.0,0.0,0.0,3.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0
L_fusiform,28.0,20.0,300.0,859.0,2399.0,0.0,7953.0,15345.0,375.0,24713.0,543.0,9627.0,123.0,1974.0,4426.0,2.0,87.0,102.0,59.0,588.0,58.0,10.0,71.0,512.0,21.0,844.0,113.0,7419.0,641.0,228.0,29.0,656.0,76.0,192.0,0.0,2.0,4.0,36.0,0.0,17.0,49.0,3.0,86.0,97.0,0.0,42.0,7.0,4.0,4.0,3.0,0.0,1.0,0.0,31.0,1.0,2.0,1.0,330.0,0.0,4.0,25.0,180.0,4.0,3.0,3.0,0.0,0.0,4.0
L_inferiorparietal,4693.0,16.0,4037.0,367.0,33.0,7953.0,0.0,10989.0,618.0,27267.0,967.0,422.0,78.0,27060.0,104.0,18.0,851.0,270.0,394.0,169.0,1536.0,25.0,1311.0,1385.0,26.0,6036.0,529.0,60567.0,6483.0,12285.0,46.0,108.0,860.0,1405.0,4.0,9.0,35.0,23.0,1.0,19.0,102.0,15.0,104.0,70.0,1.0,40.0,2.0,26.0,3.0,22.0,24.0,5.0,1.0,15.0,29.0,6.0,7.0,724.0,9.0,44.0,251.0,368.0,53.0,29.0,2.0,0.0,2.0,18.0
L_inferiortemporal,659.0,13.0,1379.0,440.0,108.0,15345.0,10989.0,0.0,123.0,10483.0,832.0,2540.0,227.0,20718.0,298.0,8.0,662.0,172.0,612.0,635.0,272.0,22.0,393.0,301.0,24.0,3342.0,524.0,2531.0,2237.0,3186.0,42.0,2079.0,109.0,470.0,1.0,9.0,10.0,22.0,0.0,11.0,33.0,5.0,47.0,45.0,1.0,26.0,16.0,4.0,2.0,2.0,5.0,0.0,1.0,10.0,1.0,1.0,1.0,236.0,4.0,21.0,101.0,126.0,4.0,4.0,5.0,0.0,0.0,2.0
L_isthmuscingulate,6.0,2337.0,14.0,1537.0,252.0,375.0,618.0,123.0,0.0,396.0,160.0,2553.0,769.0,83.0,1632.0,43.0,33.0,21.0,38.0,420.0,10.0,5259.0,24.0,20955.0,1540.0,243.0,3362.0,2556.0,328.0,75.0,53.0,15.0,79.0,111.0,15.0,37.0,10.0,172.0,8.0,97.0,267.0,59.0,1665.0,308.0,17.0,154.0,148.0,96.0,27.0,131.0,10.0,9.0,10.0,99.0,121.0,165.0,44.0,2628.0,16.0,125.0,306.0,1121.0,158.0,100.0,51.0,2.0,8.0,42.0
L_lateraloccipital,80.0,6.0,32.0,15284.0,40.0,24713.0,27267.0,10483.0,396.0,0.0,1834.0,14540.0,139.0,5823.0,132.0,0.0,30.0,489.0,129.0,11038.0,6.0,9.0,10.0,271.0,45.0,761.0,216.0,22405.0,2614.0,170.0,94.0,209.0,43.0,650.0,0.0,5.0,1.0,201.0,4.0,80.0,125.0,19.0,192.0,430.0,2.0,207.0,6.0,6.0,25.0,0.0,0.0,1.0,0.0,127.0,0.0,1.0,0.0,997.0,7.0,10.0,34.0,768.0,11.0,1.0,2.0,0.0,0.0,4.0
