,L_bankssts,L_caudalanteriorcingulate,L_caudalmiddlefrontal,L_cuneus,L_entorhinal,L_fusiform,L_inferiorparietal,L_inferiortemporal,L_isthmuscingulate,L_lateraloccipital,L_lateralorbitofrontal,L_lingual,L_medialorbitofrontal,L_middletemporal,L_parahippocampal,L_paracentral,L_parsopercularis,L_parsorbitalis,L_parstriangularis,L_pericalcarine,L_postcentral,L_posteriorcingulate,L_precentral,L_precuneus,L_rostralanteriorcingulate,L_rostralmiddlefrontal,L_superiorfrontal,L_superiorparietal,L_superiortemporal,L_supramarginal,L_frontalpole,L_temporalpole,L_transversetemporal,L_insula,R_bankssts,R_caudalanteriorcingulate,R_caudalmiddlefrontal,R_cuneus,R_entorhinal,R_fusiform,R_inferiorparietal,R_inferiortemporal,R_isthmuscingulate,R_lateraloccipital,R_lateralorbitofrontal,R_lingual,R_medialorbitofrontal,R_middletemporal,R_parahippocampal,R_paracentral,R_parsopercularis,R_parsorbitalis,R_parstriangularis,R_pericalcarine,R_postcentral,R_posteriorcingulate,R_precentral,R_precuneus,R_rostralanteriorcingulate,R_rostralmiddlefrontal,R_superiorfrontal,R_superiorparietal,R_superiortemporal,R_supramarginal,R_frontalpole,R_temporalpole,R_transversetemporal,R_insula
L_precuneus,104.0,1453.0,218.0,6174.0,369.0,709.0,1203.0,878.0,20168.0,1230.0,147.0,3883.0,503.0,759.0,2564.0,3366.0,368.0,124.0,150.0,1607.0,781.0,14672.0,2032.0,0.0,1708.0,288.0,10218.0,17647.0,2335.0,1136.0,30.0,111.0,279.0,936.0,122.0,125.0,78.0,195.0,16.0,100.0,1134.0,723.0,3172.0,1438.0,223.0,394.0,217.0,799.0,102.0,2075.0,87.0,90.0,74.0,164.0,825.0,1202.0,598.0,10808.0,115.0,208.0,1634.0,7193.0,1572.0,782.0,85.0,4.0,218.0,306.0
L_rostralanteriorcingulate,0.0,4464.0,3.0,1.0,9.0,5.0,2.0,4.0,1147.0,10.0,346.0,29.0,6176.0,26.0,70.0,22.0,8.0,20.0,32.0,1.0,1.0,1872.0,5.0,1708.0,0.0,121.0,7572.0,24.0,51.0,2.0,76.0,51.0,0.0,411.0,0.0,315.0,4.0,0.0,0.0,0.0,6.0,1.0,31.0,1.0,98.0,0.0,920.0,2.0,1.0,20.0,12.0,38.0,63.0,0.0,13.0,29.0,7.0,83.0,457.0,283.0,1433.0,25.0,11.0,6.0,251.0,0.0,0.0,14.0
L_rostralmiddlefrontal,33.0,328.0,14467.0,50.0,15.0,264.0,1230.0,862.0,163.0,790.0,4350.0,603.0,422.0,602.0,46.0,28.0,10594.0,6293.0,12432.0,83.0,166.0,138.0,1089.0,288.0,121.0,0.0,60609.0,619.0,942.0,579.0,1518.0,193.0,9.0,1563.0,1.0,257.0,393.0,2.0,0.0,3.0,42.0,17.0,70.0,6.0,199.0,10.0,574.0,32.0,2.0,35.0,810.0,517.0,1251.0,2.0,26.0,48.0,105.0,198.0,142.0,4387.0,8822.0,98.0,23.0,51.0,941.0,0.0,2.0,121.0
L_superiorfrontal,86.0,10804.0,27471.0,33.0,29.0,211.0,899.0,1123.0,3535.0,650.0,804.0,426.0,5528.0,749.0,340.0,8455.0,13246.0,1268.0,4956.0,50.0,1275.0,13355.0,31696.0,10218.0,7572.0,60609.0,0.0,2206.0,1388.0,1049.0,5189.0,108.0,72.0,6371.0,12.0,2396.0,2645.0,0.0,0.0,7.0,406.0,81.0,431.0,30.0,424.0,26.0,2533.0,111.0,11.0,2991.0,3581.0,1245.0,3322.0,2.0,328.0,1081.0,4433.0,1456.0,1665.0,11083.0,54824.0,497.0,104.0,218.0,2919.0,3.0,17.0,454.0
L_superiorparietal,379.0,26.0,6715.0,12593.0,138.0,4814.0,52912.0,4535.0,3217.0,17438.0,358.0,7159.0,78.0,3594.0,997.0,1018.0,1189.0,336.0,272.0,6770.0,15414.0,271.0,9832.0,17647.0,24.0,619.0,2206.0,0.0,11684.0,13208.0,40.0,187.0,2083.0,5206.0,58.0,26.0,50.0,700.0,11.0,148.0,723.0,485.0,1706.0,3509.0,152.0,930.0,14.0,540.0,126.0,819.0,38.0,49.0,25.0,422.0,394.0,387.0,266.0,6158.0,15.0,60.0,658.0,5382.0,861.0,410.0,4.0,1.0,113.0,187.0
L_superiortemporal,8797.0,15.0,464.0,397.0,52.0,955.0,7672.0,1919.0,704.0,5382.0,3079.0,1729.0,445.0,16403.0,325.0,51.0,3555.0,1306.0,1197.0,326.0,1261.0,39.0,1977.0,2335.0,51.0,942.0,1388.0,11684.0,0.0,15711.0,165.0,449.0,9962.0,11465.0,15.0,34.0,16.0,21.0,0.0,13.0,140.0,95.0,272.0,130.0,28.0,63.0,46.0,128.0,10.0,121.0,21.0,13.0,30.0,14.0,62.0,94.0,35.0,1498.0,15.0,95.0,337.0,1038.0,192.0,69.0,27.0,0.0,29.0,40.0
L_supramarginal,1888.0,2.0,2982.0,14.0,4.0,182.0,13623.0,3581.0,106.0,381.0,76.0,54.0,7.0,6793.0,28.0,183.0,4519.0,87.0,500.0,14.0,25547.0,31.0,10526.0,1136.0,2.0,579.0,1049.0,13208.0,15711.0,0.0,4.0,16.0,2796.0,4935.0,10.0,13.0,17.0,1.0,0.0,2.0,30.0,10.0,91.0,7.0,1.0,2.0,2.0,25.0,1.0,304.0,15.0,0.0,10.0,2.0,123.0,106.0,70.0,587.0,3.0,18.0,254.0,479.0,74.0,92.0,0.0,0.0,17.0,24.0
L_frontalpole,4.0,28.0,4.0,9.0,0.0,39.0,44.0,54.0,34.0,91.0,1049.0,103.0,2974.0,71.0,8.0,0.0,12.0,285.0,32.0,18.0,1.0,28.0,3.0,30.0,76.0,1518.0,5189.0,40.0,165.0,4.0,0.0,53.0,0.0,209.0,0.0,50.0,1.0,0.0,0.0,1.0,2.0,3.0,30.0,3.0,247.0,7.0,1229.0,9.0,0.0,1.0,2.0,159.0,10.0,0.0,3.0,18.0,3.0,67.0,215.0,847.0,1396.0,8.0,6.0,1.0,1188.0,2.0,0.0,18.0
L_temporalpole,8.0,3.0,9.0,84.0,887.0,1601.0,108.0,1833.0,34.0,407.0,1344.0,710.0,384.0,384.0,298.0,0.0,24.0,333.0,74.0,108.0,5.0,6.0,11.0,111.0,51.0,193.0,108.0,187.0,449.0,16.0,53.0,0.0,0.0,3633.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,7.0,15.0,13.0,5.0,6.0,29.0,3.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,66.0,5.0,10.0,42.0,48.0,2.0,0.0,10.0,0.0,1.0,4.0
L_transversetemporal,27.0,1.0,79.0,1.0,4.0,24.0,443.0,69.0,63.0,37.0,14.0,8.0,0.0,86.0,11.0,13.0,184.0,12.0,46.0,0.0,724.0,4.0,377.0,279.0,0.0,9.0,72.0,2083.0,9962.0,2796.0,0.0,0.0,0.0,4076.0,1.0,1.0,1.0,1.0,0.0,0.0,12.0,8.0,16.0,2.0,2.0,3.0,0.0,3.0,0.0,32.0,2.0,1.0,0.0,0.0,7.0,10.0,5.0,116.0,0.0,1.0,16.0,82.0,11.0,7.0,0.0,0.0,3.0,3.0
